"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"1934712",310706.3,166642.2,307680.9,171291.8,"AWM",1833,"Sniper","Normal","Normal",5547.2358269682
"18603547",438479,410843.2,432610.6,415461.6,"AKM",1485,"Rifle","Normal","Normal",7467.77993248328
"572459",498351,384045.5,499442.5,375962.1,"M416",1029,"Rifle","Normal","Normal",8156.75963909691
"18326125",345403.4,146268.3,345576.5,143226.3,"AWM",1500,"Sniper","Normal","Normal",3046.92100488345
"3057629",389300.3,278040,389285.9,278434.9,"M416",1288,"Rifle","Normal","Normal",395.162460261621
"34282313",626792.9,378476.7,626798.8,378109.8,"Tommy Gun",155,"Sub Machine Gun","Normal","Normal",366.947434927698
"7601056",621425.2,616827.9,621172.6,616483.2,"S1897",178,"Shotgun","Elevated","Elevated",427.346288155211
"17965105",308626.5,428627,298792.3,417180.6,"Kar98k",855,"Sniper","Normal","Normal",15090.7774021089
"22240401",389848.5,345049.9,389750.5,345093.5,"Kar98k",101,"Sniper","Normal","Normal",107.26117657381
"29957924",550795.7,561962.3,552901.9,566386.8,"M16A4",692,"Rifle","Normal","Normal",4900.23251387118
"9294323",389589.2,278512.5,389669.8,278440.9,"UMP9",202,"Sub Machine Gun","Normal","Normal",107.809647063669
"28956190",613695.7,282793.2,610368.9,282993.7,"M16A4",1720,"Rifle","Normal","Normal",3332.83640312565
"13857969",161409.5,287362.1,163028.1,287540.4,"M416",320,"Rifle","Normal","Normal",1628.39087752297
"37285751",177188.9,424502.8,199328.5,406786.3,"M16A4",410,"Rifle","Normal","Normal",28355.5331533371
"36374986",736068.8,434116.1,737056.3,433164,"M416",294,"Rifle","Normal","Normal",1371.73272177927
"35636689",589181.1,450910.7,588528.3,450760.1,"AKM",1394,"Rifle","Normal","Normal",669.946415767649
"34030277",362671.9,404504.2,361564.9,402999.1,"AKM",409,"Rifle","Normal","Normal",1868.36158438352
"4145784",545368.9,452576.9,544279.1,452404.1,"SCAR-L",408,"Rifle","Normal","Normal",1103.4146455436
"37706181",541623.1,183194.3,543194.3,183782,"M416",1885,"Rifle","Normal","Normal",1677.51623837155
"2372509",464144.9,649314.4,464300.9,649313.4,"SCAR-L",220,"Rifle","Elevated","Elevated",156.00320509528
"1466325",535213.5,313226.1,537491.2,315224.9,"Grenade",1437,"Explosives","Normal","Normal",3030.36610494507
"3984217",512077.8,205634,461110.1,239823.1,"M416",1251,"Rifle","Normal","Normal",61372.6405012853
"39533739",532847.6,233932.2,533085.1,233871.7,"M16A4",543,"Rifle","Normal","Normal",245.084679243726
"19457224",449279.5,377433.3,445789.1,379185.9,"M416",1679,"Rifle","Normal","Normal",3905.70082315585
"37782380",524574.4,370399.9,548733.2,358351.6,"AKM",886,"Rifle","Normal","Normal",26996.4655155077
"34558367",181304.3,561449.6,184893.3,564218,"Grenade",1222,"Explosives","Elevated","Elevated",4532.65480265155
"27198150",677017.7,416621.5,678001,417925.7,"AKM",437,"Rifle","Normal","Normal",1633.34519621546
"18706996",420945.9,286481.1,420194.6,289862.9,"SCAR-L",406,"Rifle","Normal","Normal",3464.24925921914
"31090526",382433.2,115214.3,382811.2,115802.5,"Mini 14",489,"Rifle","Normal","Normal",699.187557097519
"10163999",459154.2,328410.7,457837.9,325320.4,"S686",753,"Shotgun","Normal","Normal",3358.95813906632
"23958781",447538.9,342774.3,470262.3,342875.8,"Uaz",1464,"Vehicles","Normal","Normal",22723.6266869969
"11218638",167741.5,337829,211701.2,334759.4,"Mini 14",1320,"Rifle","Normal","Normal",44066.7410668182
"12941075",389795.8,278836.7,391397.2,278229.3,"Micro UZI",562,"Sub Machine Gun","Normal","Normal",1712.72202064436
"17202917",436714.2,334159.8,436729.8,333729.7,"R1895",134,"Pistol","Normal","Normal",430.382817965563
"11808517",314163.2,394416,315224.9,396003.1,"M416",1069,"Rifle","Normal","Normal",1909.47461360447
"6090384",483848.8,626464.4,485254.9,627976.4,"P1911",170,"Pistol","Elevated","Elevated",2064.76662361636
"8909414",167167.7,278866.1,167273.8,278840.9,"S12K",191,"Shotgun","Normal","Normal",109.05159329415
"11268781",575008.4,348502.5,577765.3,347507.2,"SCAR-L",515,"Rifle","Normal","Normal",2931.06119008118
"36062560",206368.2,287479,206117.1,290599.7,"SCAR-L",224,"Rifle","Normal","Normal",3130.78579593048
"38319684",200297.5,267863.5,197500.1,269591.6,"SCAR-L",349,"Rifle","Normal","Normal",3288.12657451016
"18553281",218256.2,396644.8,218236,396807.5,"UMP9",223,"Sub Machine Gun","Normal","Normal",163.949168951856
"25946494",501350.8,691755.3,506602.3,691596.4,"Groza",1558,"Rifle","Elevated","Elevated",5253.9034498171
"10823408",335569.5,287835.7,335511.1,288179.8,"M416",929,"Rifle","Normal","Normal",349.020586785345
"9643606",135431.9,390302.3,133415.8,388579.5,"AKM",1608,"Rifle","Normal","Normal",2651.92365086176
"18520790",217365.1,195456.7,205718.7,192815.2,"Kar98k",1527,"Sniper","Normal","Normal",11942.2006016479
"32033131",359225.2,403219.5,359703,403787.3,"P1911",163,"Pistol","Normal","Normal",742.084685194335
"38075012",128335.8,391014.3,128337,391013.1,"Motorbike (SideCar)",1072,"Vehicles","Normal","Normal",1.69705627485389
"33556848",429560.2,635301.6,429058.3,636107.8,"S1897",141,"Shotgun","Normal","Normal",949.664177485987
"3434348",361337.8,395618.9,361893,395934.7,"P1911",138,"Pistol","Normal","Normal",638.730522207923
"9788542",542864.9,576171.9,543320.6,573905.1,"M16A4",682,"Rifle","Normal","Normal",2312.15153698891
"5031631",215593.4,270944.3,213675,268812.6,"M16A4",85,"Rifle","Normal","Normal",2867.82207432749
"31179030",443061.4,622242.4,443204.6,623920.6,"Mini 14",268,"Rifle","Normal","Normal",1684.29851273455
"7224402",365992,396752.9,369330.6,398077.7,"M16A4",197,"Rifle","Normal","Normal",3591.84423381636
"31097226",515196.1,508329.4,515245.3,508569.1,"M416",314,"Rifle","Normal","Normal",244.697221071223
"17080401",354108.3,571953.1,354020.3,571049.1,"M416",1423,"Rifle","Normal","Normal",908.273086687038
"3414441",544855.8,317735,537143.2,314144.3,"SCAR-L",1400,"Rifle","Normal","Normal",8507.48642373301
"33677455",378980.9,602035.1,378985.9,602681.6,"Hit by Car",627,"Vehicles","Normal","Normal",646.519334591008
"34649550",374664.2,584015.2,377674.1,581115.9,"M416",1213,"Rifle","Normal","Normal",4179.16720172804
"33936311",204339.9,284443.4,203588.1,284413,"M416",308,"Rifle","Normal","Normal",752.414380511154
"36324756",420300.2,324370.6,420429.8,324072.6,"S12K",92,"Shotgun","Normal","Normal",324.961782368318
"29225703",282368.8,566703.1,283149.7,566359.3,"M16A4",515,"Rifle","Normal","Normal",853.231064835305
"3774682",473124.3,554761.4,483166.2,540874.4,"M416",1288,"Rifle","Normal","Normal",17137.342985714
"10864035",426297.1,320131,426250.3,321521.9,"M416",1832,"Rifle","Normal","Normal",1391.68712360216
"36402046",374570.7,412020.8,373523.9,412023.8,"Micro UZI",286,"Sub Machine Gun","Normal","Normal",1046.8042988066
"12745290",467058.9,624850.1,451963.2,618730,"Mk14",577,"Rifle","Elevated","Normal",16289.1308086098
"33193014",362073.1,364840.6,332923.3,355509.6,"Kar98k",1581,"Sniper","Normal","Normal",30606.8358547564
"30772493",360334.4,514646.9,360244.2,514934.6,"S686",290,"Shotgun","Normal","Normal",301.50842442621
"12771772",586472,380617.6,605584.1,379407.1,"M249",1360,"Machine Gun","Normal","Normal",19150.3962533416
"33843817",197840.5,276696.9,198101.7,276980,"P92",171,"Pistol","Normal","Normal",385.189628624646
"7092670",627662.1,378829.1,627750.3,378817.9,"Punch",122,"Melee","Normal","Normal",88.908267332185
"16637755",631848.4,370572.9,631720.8,370451.9,"M416",127,"Rifle","Normal","Normal",175.848684953838
"33985748",363753.6,373677.8,353672,374593.9,"SCAR-L",814,"Rifle","Normal","Normal",10123.1367554726
"8474543",335963.7,212153.9,318418.8,207085.9,"M24",1524,"Sniper","Normal","Normal",18262.2052340346
"28135900",398777.9,285165.6,398499.9,286389.8,"UMP9",414,"Sub Machine Gun","Normal","Normal",1255.36832842
"27092273",155687.2,291084.6,153563.6,289063.4,"SCAR-L",864,"Rifle","Normal","Normal",2931.7104904816
"13813164",467602.2,428459.9,461623.3,398356.6,"Kar98k",1000,"Sniper","Normal","Normal",30691.3003325047
"24509078",372057.8,413336.6,372635.3,412779.6,"S1897",227,"Shotgun","Normal","Normal",802.343598466393
"33289882",205786.4,249679.7,216690.8,251100.6,"Kar98k",675,"Sniper","Normal","Normal",10996.5856596491
"34241285",271655.1,527865.1,269040.9,529087.5,"M16A4",1834,"Rifle","Normal","Normal",2885.88000443536
"4312003",441509.6,337744.3,441437.9,337779.8,"Punch",167,"Melee","Normal","Normal",80.0071246827014
"19896146",624252.7,376065,625006.1,376812.1,"AKM",434,"Rifle","Normal","Normal",1061.02307703461
"25172032",569444.2,245507.5,570543.6,245921.5,"SCAR-L",880,"Rifle","Normal","Normal",1174.76651297185
"33262463",519858.1,684102.8,508100.9,696722.9,"SCAR-L",1512,"Rifle","Elevated","Elevated",17248.1499254267
"22870442",594354.8,468546.8,594441.3,468633.6,"SCAR-L",212,"Rifle","Normal","Normal",122.541788790592
"34390211",183213.5,505591,182269.6,505257.6,"Mini 14",1282,"Rifle","Elevated","Elevated",1001.05083287514
"27884223",290156.5,264462.6,288660.5,263470.4,"M416",1074,"Rifle","Normal","Normal",1795.125856312
"38630421",312831.6,420645.6,313193.3,421078.9,"P1911",583,"Pistol","Normal","Normal",564.425176617812
"36821703",688877.9,460536.9,684742.1,460591.8,"M16A4",221,"Rifle","Normal","Normal",4136.16436448074
"39103018",252956,543683.7,240450.2,533949.2,"Mini 14",1652,"Rifle","Elevated","Elevated",15847.8870481209
"9012128",249516,499174.9,249248.1,499997.8,"M416",558,"Rifle","Elevated","Elevated",865.410203313977
"3501764",445426.7,626849.6,445453.9,626930.8,"SCAR-L",279,"Rifle","Normal","Normal",85.6345724576936
"20900715",110397.3,507672.3,110206.3,511618.1,"M416",1578,"Rifle","Normal","Normal",3950.42005867729
"22035042",367152.8,584342.3,358881.5,577485.9,"SCAR-L",1180,"Rifle","Normal","Normal",10743.5852791329
"23204704",415193.8,480488.8,414011.1,480845.6,"AKM",770,"Rifle","Normal","Normal",1235.34834358573
"27717219",466924.5,311832.6,467986.6,314106.2,"UMP9",481,"Sub Machine Gun","Normal","Normal",2509.44483302584
"27781003",384663.3,131307.3,384720,131731.3,"SKS",299,"Sniper","Normal","Normal",427.774344719271
"30377681",166590.3,214027,166408.8,214359.8,"S12K",493,"Shotgun","Normal","Normal",379.075309140535
"9621562",388889.6,286860.3,382748.4,283804.7,"SCAR-L",1416,"Rifle","Normal","Normal",6859.37524851931
"32139108",163248.9,317143.7,176606.1,333798.9,"SKS",1506,"Sniper","Normal","Normal",21349.7184730853
"3925478",505033.3,355801,505836.7,361388.8,"AKM",924,"Rifle","Normal","Normal",5645.25999401267
"11300685",388322.1,450997.4,388708.4,451633.3,"M16A4",888,"Rifle","Normal","Normal",744.040657491237
"38030924",618527.4,301903.4,622923.7,298452.9,"M16A4",329,"Rifle","Normal","Normal",5588.68534988323
"13405953",204744.4,271467.2,204730,271188.2,"AKM",190,"Rifle","Normal","Normal",279.371365748174
"8820628",571520.1,351518.7,570983.5,350496.5,"AKM",170,"Rifle","Normal","Normal",1154.48360750597
"28932722",595077.3,473726.8,594918.1,473081.8,"P1911",239,"Pistol","Normal","Normal",664.356560891832
"17185182",278722.2,356787.9,285612.9,362058.9,"SCAR-L",1323,"Rifle","Normal","Normal",8675.55113465422
"18741698",139893.3,351717.4,141641.3,353811.3,"UMP9",1499,"Sub Machine Gun","Normal","Normal",2727.62189645117
"29788832",168721.3,626371.4,169085.1,626589.3,"S1897",246,"Shotgun","Normal","Normal",424.064676670933
"1373553",549351.9,248401.8,547150.4,253235.9,"M416",989,"Rifle","Normal","Normal",5311.79113482449
"31730864",215536.2,279208.3,216181.7,279427.4,"S12K",208,"Shotgun","Normal","Normal",681.670785643639
"10300841",212074.9,290018.6,223387.9,292306.9,"AWM",1625,"Sniper","Normal","Normal",11542.1092478801
"16738876",172796.2,603964.8,172718.4,604092.8,"M416",456,"Rifle","Normal","Normal",149.789318711324
"18758986",251463.3,364081.4,250323.4,364435.7,"M416",405,"Rifle","Normal","Normal",1193.69196193992
"24479038",336862.5,168066.9,336748.1,167992,"Punch",112,"Melee","Normal","Normal",136.738326741278
"2827013",362081.3,407090.3,361827.8,406990.8,"S686",411,"Shotgun","Normal","Normal",272.327927322924
"14450159",440750.3,333049.7,441649.9,333091.8,"S1897",341,"Shotgun","Normal","Normal",900.584571264721
"20301195",261523.5,394903.9,252061.2,416621.9,"Buggy",1063,"Vehicles","Normal","Normal",23689.8004485053
"9044192",552233.1,569495,550690.3,561091.6,"M416",962,"Rifle","Normal","Normal",8543.84944857997
"18677380",402972.1,401889.2,403581.3,403210.7,"SCAR-L",864,"Rifle","Normal","Normal",1455.15871642925
"18715903",377131.9,418453.5,376621.8,419102.8,"Micro UZI",258,"Sub Machine Gun","Normal","Normal",825.707272585158
"7665807",559183.9,380679.2,559164.8,380673,"Punch",96,"Melee","Normal","Normal",20.0810856280047
"6286307",360068.1,294696.3,360536.3,294050.8,"M16A4",191,"Rifle","Normal","Normal",797.421776727982
"30119464",223000.1,391071.1,222284.7,392269.6,"Micro UZI",847,"Sub Machine Gun","Normal","Normal",1395.77914083855
"23543055",550702.9,530216,556176.4,521590.1,"AKM",672,"Rifle","Normal","Normal",10215.9362302239
"14207776",441849.7,337014.7,442130.7,336816.3,"Micro UZI",131,"Sub Machine Gun","Normal","Normal",343.981918129441
"22926363",165287,277876.2,165285.5,277741.1,"S686",114,"Shotgun","Normal","Normal",135.108326908483
"7622196",451281.9,629611.9,451818.1,629708,"AKM",316,"Rifle","Normal","Normal",544.743655309491
"36433987",248282.4,354847.2,259372.5,367712.8,"SCAR-L",1673,"Rifle","Normal","Normal",16985.6993194275
"3171311",334643.6,173013,336789.7,172766.6,"M16A4",100,"Rifle","Normal","Normal",2160.19864132911
"1546818",213661.3,366711.5,213407.6,366764.5,"SCAR-L",1830,"Rifle","Normal","Normal",259.176947277321
"1208096",409929.2,282504.9,408485,279002.5,"M416",1640,"Rifle","Normal","Normal",3788.4719083029
"3219550",443705.6,622932.9,443641.5,624740.6,"M16A4",280,"Rifle","Normal","Normal",1808.83611750756
"35739129",162362.7,275530.9,163761.7,275976.6,"UMP9",388,"Sub Machine Gun","Normal","Normal",1468.2811345243
"5228423",465832.5,636941,464898.9,631003.1,"AKM",589,"Rifle","Elevated","Elevated",6010.8456451651
"3634778",489119.9,327605.2,502209.2,339438.9,"M16A4",1756,"Rifle","Normal","Normal",17645.5725376084
"37777866",441014.8,338366.8,441128.3,339139.8,"P92",97,"Pistol","Normal","Normal",781.288199066132
"36725439",443444.2,335628.8,443576.5,334701.5,"UMP9",286,"Sub Machine Gun","Normal","Normal",936.690226275462
"5662452",509961.5,158524.1,510971.2,161106.2,"UMP9",1409,"Sub Machine Gun","Normal","Normal",2772.49607754457
"19663764",445195.6,625035.9,445337.3,625506.1,"Micro UZI",238,"Sub Machine Gun","Normal","Normal",491.087497295502
"131447",248265,315971.6,247851.5,315624.8,"AKM",1410,"Rifle","Normal","Normal",539.678135558586
"37193239",565824.4,353065.5,563252.7,352470.7,"Punch",142,"Melee","Normal","Normal",2639.58859104981
"9825449",523613.9,571169.1,523613.9,571169.1,"UMP9",727,"Sub Machine Gun","Normal","Normal",0
"28225656",524578.1,244261.8,523945.3,244791.1,"S1897",356,"Shotgun","Normal","Normal",824.98141191181
"4100150",417846.6,329388.8,417846.6,330538.3,"AKM",135,"Rifle","Normal","Normal",1149.5
"15694798",438814.6,385177.6,432365.8,390981.7,"Kar98k",1538,"Sniper","Normal","Normal",8676.0934901602
"3981394",685297.4,441430.2,685113,441659.5,"VSS",487,"Sub Machine Gun","Normal","Normal",294.247939669938
"36711529",450489.7,629035.3,450293.3,629191.9,"Tommy Gun",169,"Sub Machine Gun","Normal","Normal",251.190206815477
"24684671",705553,323655.8,705553,323655.8,"Grenade",449,"Explosives","Normal","Normal",0
"3098479",223183.2,460902.8,222497.2,460776.6,"UMP9",181,"Sub Machine Gun","Elevated","Elevated",697.511605638217
"20448581",370040.3,389216.8,370604.2,390073.2,"M416",1064,"Rifle","Normal","Normal",1025.38001248321
"31424657",335319.3,538881.3,335216.8,540591.9,"AKM",503,"Rifle","Normal","Normal",1713.6681738306
"32627467",181037.9,586764.3,162365.8,587127.3,"Kar98k",1075,"Sniper","Normal","Normal",18675.6281664098
"29492988",734333.6,437362.3,733966.1,437314,"M16A4",172,"Rifle","Normal","Normal",370.660410618667
"35373626",536310.9,503689.8,535586.2,505155.2,"SCAR-L",1104,"Rifle","Normal","Normal",1634.80495778554
"26610700",366153.4,224803.8,350998.3,232223.2,"SCAR-L",1097,"Rifle","Normal","Normal",16873.7829893003
"37215023",197922.8,335922.3,198359.9,336419.1,"SCAR-L",1441,"Rifle","Normal","Normal",661.714931069258
"27135546",437959.5,623012.3,444578.3,626975.9,"Kar98k",345,"Sniper","Normal","Normal",7714.83236370044
"39234548",223567.5,392664,223632.6,392740.6,"Punch",202,"Melee","Normal","Normal",100.526464177336
"27101169",630840.8,305929.4,630225.8,305880.7,"S686",525,"Shotgun","Normal","Normal",616.92518995418
"36437444",210960.5,270964.6,203364.4,270443.8,"Mini 14",102,"Rifle","Normal","Normal",7613.93248262684
"24873255",360392.6,412035.3,360396.1,411843.8,"AKM",267,"Rifle","Normal","Normal",191.531981663638
"25404167",671533.9,513979.1,671911.4,513954.1,"SCAR-L",972,"Rifle","Normal","Normal",378.326908902869
"27028944",355074.2,319820.7,358353.1,321077.7,"UMP9",1328,"Sub Machine Gun","Normal","Normal",3511.58571161232
"29854712",446489.1,621551.3,446655.3,621145.8,"Tommy Gun",167,"Sub Machine Gun","Normal","Normal",438.238165841365
"33071980",684729.9,462620.6,684566.4,462285.8,"AKM",239,"Rifle","Normal","Normal",372.589975710555
"7481505",644145.3,252778.1,621631.5,244420,"Mini 14",1115,"Rifle","Normal","Normal",24015.1832399839
"3256915",207756.8,279870.5,207771.6,279816.8,"AKM",270,"Rifle","Normal","Normal",55.7021543569166
"9264773",360495.9,395100.5,357706.6,392565.4,"Micro UZI",344,"Sub Machine Gun","Normal","Normal",3769.20767536098
"18138106",493193.1,482366.9,493733,482519.6,"Hit by Car",1408,"Vehicles","Normal","Normal",561.078693232964
"29173024",470904.6,640012.1,470958.6,638860.4,"M16A4",210,"Rifle","Elevated","Elevated",1152.96525966739
"19785486",204620.9,337102.7,197703.8,326435.6,"Kar98k",1753,"Sniper","Normal","Normal",12713.5083600083
"12366166",329210.6,391051.9,325023.5,385999.6,"Hit by Car",729,"Vehicles","Normal","Normal",6561.82457095588
"39403947",526362.4,418047.9,537426.9,427046.8,"M416",1486,"Rifle","Normal","Normal",14261.9550363896
"25973365",506165.5,498055.6,506199.4,498076.8,"S1897",246,"Shotgun","Normal","Normal",39.9831214389531
"25851828",655710.8,354644.7,656944,353872.8,"UMP9",276,"Sub Machine Gun","Normal","Normal",1454.85801712742
"537400",413017.5,387928.7,407469.7,388272.7,"Mini 14",1232,"Rifle","Normal","Normal",5558.45489682159
"29203710",426222.8,642787.6,426343.5,642513.7,"P1911",79,"Pistol","Normal","Normal",299.315385505015
"36109925",424085.4,325891.2,424131.2,325267.4,"SCAR-L",298,"Rifle","Normal","Normal",625.479080385575
"6083173",384008.3,473936.3,382696.6,475196.1,"UMP9",116,"Sub Machine Gun","Normal","Normal",1818.69539230735
"27945649",567543.2,418100.3,551282.9,402278.5,"Kar98k",849,"Sniper","Normal","Normal",22687.5893679782
"21138570",478270.2,271506.9,474406.9,272408.4,"Kar98k",1488,"Sniper","Normal","Normal",3967.08824454409
"7318476",367667.6,585439.4,367382.8,586171.1,"M16A4",745,"Rifle","Normal","Normal",785.172547915377
"13685532",380175.8,474207.5,380596.1,474034.8,"AKM",288,"Rifle","Normal","Normal",454.397821297587
"9930068",531992.4,494523.9,529362.3,489659.8,"M416",826,"Rifle","Normal","Normal",5529.6378561349
"34880650",384579.1,119200,384711.1,118948.6,"S686",275,"Shotgun","Normal","Normal",283.947107750717
"12016941",420682.8,324544.3,422100.2,324478.2,"S1897",360,"Shotgun","Normal","Normal",1418.94043920105
"35378638",641544.1,364379.8,642346.3,362145.2,"Vector",1163,"Sub Machine Gun","Normal","Normal",2374.22871686786
"13718066",373779.5,127765.7,373622.3,127305.3,"AKM",274,"Rifle","Normal","Normal",486.497687558737
"25417422",356421.6,173111.3,337302.3,182021.5,"M16A4",1443,"Rifle","Normal","Normal",21093.5842504303
"34684442",326478.9,526710.1,323990.2,530379.8,"Grenade",1063,"Explosives","Normal","Normal",4433.99659224052
"37517363",684308.8,461770.4,684821.6,461132.8,"S1897",155,"Shotgun","Normal","Normal",818.228329991068
"22240158",450012.3,178130.1,450186.7,178234.9,"AKM",1487,"Rifle","Normal","Normal",203.465967670286
"31107243",516719.7,378672.3,517708.2,378699.3,"M16A4",612,"Rifle","Normal","Normal",988.868671765872
"12465301",518861.5,354116.4,516424,361321.5,"SKS",1820,"Sniper","Normal","Normal",7606.23903516052
"3424941",355406.3,572378.4,357136.3,573491.1,"AKM",498,"Rifle","Normal","Normal",2056.93978764569
"24791052",447696.8,404466.3,446360.6,402501.8,"AKM",1488,"Rifle","Normal","Normal",2375.85578055572
"23731683",398071.7,354472.4,398938.9,356562.9,"M416",1413,"Rifle","Normal","Normal",2263.23354738304
"390993",479814.9,273103.1,454683.5,277045,"M16A4",1568,"Rifle","Normal","Normal",25438.6682349922
"37138901",464272.3,318369.4,466770.1,318234.2,"M16A4",977,"Rifle","Normal","Normal",2501.45635180787
"7654551",275849.9,494144.8,274337.9,491877.5,"AKM",1728,"Rifle","Normal","Normal",2725.21435670663
"25520984",688846,461705.1,688681.4,461330.6,"S686",152,"Shotgun","Normal","Normal",409.076288728634
"4125521",198995.4,289947.5,199021.1,290069.4,"SCAR-L",182,"Rifle","Normal","Normal",124.57969336937
"38094041",705304.6,337520.2,700271.5,337966.8,"UMP9",226,"Sub Machine Gun","Normal","Normal",5052.87513896789
"19367603",622956.7,600640.6,623610.3,602158.1,"M416",669,"Rifle","Elevated","Elevated",1652.27092512097
"12901975",342568.1,522902.9,342224.1,522697.1,"Micro UZI",418,"Sub Machine Gun","Normal","Normal",400.861123083817
"3534858",625590.1,300389.3,625452.8,300287.6,"UMP9",175,"Sub Machine Gun","Normal","Normal",170.863044570741
"21938527",356108.9,433464.6,349956.8,441197.8,"Mini 14",1547,"Rifle","Normal","Normal",9881.8377162348
"16880984",524868.4,632937.3,525461.5,633621.6,"UMP9",1270,"Sub Machine Gun","Elevated","Elevated",905.557342193125
"10979606",316631.2,527340.3,320754.5,525475.5,"M16A4",888,"Rifle","Normal","Normal",4525.38196509423
"39479577",625042.2,649432.8,625418.4,649385.4,"AKM",1136,"Rifle","Elevated","Elevated",379.174366222263
"661420",396413.4,305899.8,397598.3,301491.8,"M16A4",671,"Rifle","Normal","Normal",4564.47718912034
"38209417",437669.3,325315.1,440125.1,328825.4,"M16A4",348,"Rifle","Normal","Normal",4284.05879161342
"20050501",358739.1,478229.6,355371.9,479692.4,"M16A4",492,"Rifle","Normal","Normal",3671.21501413358
"21931005",126898.3,188787.1,109648.7,190221.7,"Dacia",1351,"Vehicles","Normal","Normal",17309.1529925644
"14554177",437880.3,334989.1,437822.6,335063.4,"Punch",322,"Melee","Normal","Normal",94.0732693171034
"31588353",551313.1,231093.2,551202.4,225112.2,"SCAR-L",95,"Rifle","Normal","Normal",5982.02436387549
"27749669",222819,567402.4,223922.7,571562.6,"AKM",1072,"Rifle","Elevated","Elevated",4304.11637040632
"330493",602629.1,493237.1,598006.1,492379.8,"M416",383,"Rifle","Normal","Normal",4701.81797712331
"34821155",169714.3,615568.6,170528.4,615579.9,"Micro UZI",278,"Sub Machine Gun","Normal","Normal",814.178420249524
"15467237",420544.3,470508.6,420739.2,470100.9,"AKM",994,"Rifle","Normal","Normal",451.890805394369
"27781465",164567.5,410063.8,163053.8,407445.6,"M16A4",737,"Rifle","Normal","Normal",3024.27824943409
"30270621",570440.1,129040.4,569890.9,129475.4,"S686",157,"Shotgun","Normal","Normal",700.603768188517
"2508752",487565.6,345747.5,486904.7,346312.6,"AKM",1206,"Rifle","Normal","Normal",869.555530141651
"30754253",627912.6,378646,627764.9,378340.2,"S1897",210,"Shotgun","Normal","Normal",339.601133684767
"22309467",435623.2,337888.1,435746.7,337992.3,"R1895",190,"Pistol","Normal","Normal",161.585550096543
